0000000001,000000001
0000000001,000000002
0000000001,000000003
0000000002,000000004
0000000002,000000005
0000000002,000000006
0000000002,000000008
0000000003,000000008
0000000003,000000007
0000000003,000000006
0000000003,000000005
0000000003,000000004
0000000003,000000003
0000000003,000000002
0000000004,000000008
0000000004,000000003
0000000004,000000006
0000000005,000000008
0000000005,000000007
0000000005,000000004
0000000006,000000002
0000000006,000000003
0000000006,000000004
0000000006,000000005
0000000007,000000001
0000000007,000000003
0000000007,000000005
0000000008,000000007
0000000008,000000004
0000000008,000000008
