\N,1,1
\N,1,1
\N,1,1
\N,2,1
\N,2,1
\N,2,1
\N,3,1
\N,3,1
\N,3,1
\N,4,1
\N,4,1
\N,4,1
\N,5,4
\N,5,4
\N,5,4
\N,6,4
\N,6,4
\N,6,4
\N,7,4
\N,7,4
\N,7,4
\N,8,4
\N,8,4
\N,8,4
\N,9,3
\N,9,3
\N,9,3
\N,10,3
\N,10,3
\N,10,3
\N,11,3
\N,11,3
\N,11,3
\N,12,3
\N,12,3
\N,12,3
\N,13,5
\N,13,5
\N,13,5
\N,14,5
\N,14,5
\N,14,5
\N,15,5
\N,15,5
\N,15,5
\N,16,5
\N,16,5
\N,16,5
\N,17,6
\N,17,6
\N,17,6
\N,18,6
\N,18,6
\N,18,6
\N,19,6
\N,19,6
\N,19,6
\N,20,6
\N,20,6
\N,20,6
\N,21,7
\N,21,7
\N,21,7
\N,22,7
\N,22,7
\N,22,7
\N,23,7
\N,23,7
\N,23,7
\N,24,7
\N,24,7
\N,24,7
\N,25,8
\N,25,8
\N,25,8
\N,26,8
\N,26,8
\N,26,8
\N,27,8
\N,27,8
\N,27,8
\N,28,8
\N,28,8
\N,28,8
\N,29,9
\N,29,9
\N,29,9
\N,30,9
\N,30,9
\N,30,9
\N,31,9
\N,31,9
\N,31,9
\N,32,9
\N,32,9
\N,32,9
