1,1,1
2,1,1
3,1,2
4,1,1
5,1,1
1,2,4
2,2,3
3,2,3
4,2,3
1,3,3
2,3,3
3,3,3
1,4,1
2,4,2
3,4,1
4,4,2
5,4,1
1,5,3
2,5,3
3,5,4
4,5,4
5,5,4
1,6,1
2,6,4
3,6,4
4,6,1
5,6,1
1,7,2
2,7,2
3,7,2
1,8,4
2,8,3
3,8,3
4,8,3
1,9,6
2,9,5
3,9,6
4,9,5
5,9,5
1,10,8
2,10,7
3,10,7
4,10,8
5,10,8
1,11,2
2,11,2
3,11,2
1,12,8
2,12,5
3,12,5
4,12,8
5,12,5
1,13,2
2,13,5
3,13,5
4,13,2
5,13,5
1,14,1
2,14,2
3,14,1
4,14,2
5,14,2
1,15,4
2,15,4
3,15,3
4,15,3
5,15,4
1,16,6
2,16,6
3,16,6
1,17,8
2,17,7
3,17,8
4,17,7
5,17,7
1,18,2
2,18,2
3,18,4
4,18,4
5,18,2
1,19,6
2,19,7
3,19,6
4,19,7
5,19,6
1,20,2
2,20,2
3,20,6
4,20,6
5,20,2
